5 stars_count,5 stars_average_score,4 stars_count,4 stars_average_score,3 stars_count,3 stars_average_score,1 star_count,1 star_average_score,2 stars_count,2 stars_average_score
20.0,0.6917404189705849,14.0,0.5590690800121852,,,,,,
4.0,0.8263638019561768,1.0,0.6007400751113892,,,1.0,0.7782857418060303,1.0,0.5009735226631165
2.0,0.6124785244464874,2.0,0.5555711388587952,,,,,,
28.0,0.7885727360844612,7.0,0.5937230799879346,,,1.0,0.8003906011581421,,
5.0,0.7281899452209473,,,,,,,,
,,,,1.0,0.251864492893219,,,,
3.0,0.6246839563051859,,,,,,,,
,,,,1.0,0.251864492893219,,,,
3.0,0.6992858648300171,3.0,0.4864916404088338,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
221.0,0.706701399918595,70.0,0.5805240396942412,3.0,0.38931557536125183,2.0,0.6290434002876282,1.0,0.25996333360671997
21.0,0.7088931557678041,8.0,0.6256611309945583,2.0,0.3315793126821518,,,1.0,0.5596746802330017
17.0,0.7839535264407888,7.0,0.6399636055741992,2.0,0.3854749947786331,,,,
,,,,,,1.0,0.357822060585022,,
154.0,0.7382625147893831,50.0,0.623496829867363,10.0,0.5130356192588806,1.0,0.742173433303833,10.0,0.5248372852802277
72.0,0.7623816393315792,7.0,0.607899580683027,,,,,,
3.0,0.7620870669682821,1.0,0.4667150378227234,,,,,,
1.0,0.7789580821990967,1.0,0.546234130859375,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
1.0,0.6992745995521545,,,,,,,,
,,,,1.0,0.251864492893219,,,,
180.0,0.7453681738840209,43.0,0.5856062520382016,3.0,0.5572039981683096,1.0,0.3858807384967804,4.0,0.5717647150158882
62.0,0.7223750376893628,16.0,0.6138836089521646,,,,,1.0,0.4525298476219177
47.0,0.7604647120262714,7.0,0.5242461945329394,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
23.0,0.6942629658657572,15.0,0.5807878971099854,2.0,0.6541353762149811,3.0,0.523107906182607,,
,,,,1.0,0.251864492893219,,,,
29.0,0.745267618319084,12.0,0.567097969353199,3.0,0.43174676100413006,,,1.0,0.36809587478637695
,,,,,,1.0,0.9236947894096375,,
169.0,0.7500011850390914,36.0,0.5797832699285613,9.0,0.43448635935783386,1.0,0.9458047151565552,2.0,0.3949747532606125
3.0,0.7061766584714254,3.0,0.636777937412262,,,1.0,0.3257765471935272,1.0,0.50775146484375
1.0,0.6138389706611633,,,,,,,,
8.0,0.6538722924888134,1.0,0.26148372888565063,,,,,,
24.0,0.7184221098820368,6.0,0.6868432511885961,1.0,0.4826239347457886,,,,
126.0,0.7962616620555757,18.0,0.5771878312031428,,,,,1.0,0.2419390082359314
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
43.0,0.7772800104562626,11.0,0.6119053688916293,1.0,0.31215566396713257,,,,
17.0,0.7336172654348261,5.0,0.5645175576210022,2.0,0.48599928617477417,,,,
28.0,0.7509049155882427,3.0,0.5270687937736511,1.0,0.8142058849334717,1.0,0.5084389448165894,,
16.0,0.8047206327319145,9.0,0.5901695357428657,1.0,0.454330712556839,1.0,0.27879735827445984,,
,,,,1.0,0.251864492893219,,,,
3.0,0.6881400048732758,2.0,0.5610329806804657,1.0,0.5521674752235413,2.0,0.6430074572563171,,
2.0,0.6113860607147217,,,,,,,,
1.0,0.5329253673553467,,,2.0,0.4678139090538025,,,2.0,0.4023093730211258
14.0,0.843603674854551,3.0,0.5906088550885519,,,,,,
1.0,0.78367680311203,,,,,,,,
,,,,1.0,0.251864492893219,,,,
,,2.0,0.5263400375843048,,,1.0,0.7216414213180542,,
1.0,0.8003879189491272,,,,,,,,
62.0,0.7078526500732668,19.0,0.5704384995134253,3.0,0.4207424422105153,1.0,0.6372338533401489,1.0,0.6050282716751099
,,,,1.0,0.251864492893219,,,,
28.0,0.7121801227331161,20.0,0.5796926021575928,1.0,0.4976128339767456,1.0,0.45477545261383057,,
20.0,0.6832047358155251,2.0,0.5778214335441589,1.0,0.2722776234149933,,,,
20.0,0.7851703196763993,2.0,0.6697779893875122,,,,,,
,,,,1.0,0.251864492893219,,,,
9.0,0.6854144136110941,5.0,0.6111908674240112,,,,,,
4.0,0.797881230711937,,,,,,,,
29.0,0.6734889663498977,20.0,0.5998926490545273,1.0,0.46546411514282227,,,3.0,0.5387035409609476
32.0,0.6964428424835205,5.0,0.5902953267097473,2.0,0.4480631947517395,2.0,0.5174762010574341,,
3.0,0.6856607794761658,5.0,0.6233167052268982,,,,,1.0,0.8903636932373047
1.0,0.8545166850090027,,,,,,,,
10.0,0.7664234399795532,5.0,0.5636298894882202,1.0,0.34848347306251526,,,,
31.0,0.7168397403532459,3.0,0.46418670813242596,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
15.0,0.7472615698973338,8.0,0.579396802932024,2.0,0.38288694620132446,,,,
75.0,0.7577864106496175,12.0,0.6438766568899155,,,2.0,0.6076160371303558,1.0,0.4565456807613373
7.0,0.7045885069029671,,,,,,,,
1.0,0.7623800039291382,,,,,,,,
2.0,0.7956005036830902,7.0,0.5813513994216919,1.0,0.7089689373970032,,,,
15.0,0.7793781399726868,4.0,0.5659184381365776,,,1.0,0.6172804832458496,,
,,4.0,0.5707830488681793,,,,,,
,,,,1.0,0.251864492893219,,,,
6.0,0.7091187288363775,1.0,0.47479280829429626,,,,,,
42.0,0.7615384232430231,10.0,0.5550287753343582,,,1.0,0.3882356286048889,,
18.0,0.748590177959866,3.0,0.6402485072612762,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
1.0,0.9099237322807312,,,,,,,,
2.0,0.7538959085941315,,,,,,,,
32.0,0.7738772910088301,4.0,0.577181838452816,,,,,1.0,0.32234829664230347
7.0,0.7554771218981061,,,,,1.0,0.49300435185432434,,
9.0,0.7050140235159132,,,,,,,,
,,,,,,1.0,0.9337242841720581,,
173.0,0.7243591495332001,42.0,0.5489587890250343,2.0,0.3837936967611313,2.0,0.4526849389076233,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
8.0,0.7167040109634399,,,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
1.0,0.4918578565120697,,,,,,,,
,,,,1.0,0.251864492893219,,,,
79.0,0.7425000592123104,17.0,0.5522036359590643,2.0,0.4901520013809204,,,,
4.0,0.6216209307312965,,,,,,,,
28.0,0.7704907549279076,13.0,0.5547792865679815,,,,,,
8.0,0.759922131896019,,,,,,,,
3.0,0.859291672706604,,,,,,,,
74.0,0.7467537953241451,14.0,0.547135836311749,2.0,0.421918123960495,1.0,0.3807057738304138,1.0,0.5067464113235474
33.0,0.7372257294076862,15.0,0.5330820242563884,,,3.0,0.5459219117959341,1.0,0.4600999653339386
194.0,0.7050313408841792,106.0,0.5742889791727066,18.0,0.4963530856702063,5.0,0.7553896069526672,12.0,0.4988166665037473
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
20.0,0.7644327610731125,4.0,0.5369394794106483,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
115.0,0.7634956144768259,30.0,0.5564722458521525,6.0,0.48571107784907025,3.0,0.6238690217336019,4.0,0.5334459990262985
,,,,1.0,0.251864492893219,,,,
1.0,0.9394371509552002,,,,,,,,
5.0,0.7348819494247436,,,,,,,,
53.0,0.7325083529049495,8.0,0.6034687086939812,3.0,0.5051531891028086,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
14.0,0.6980584625686918,6.0,0.5922074417273203,,,,,,
20.0,0.7732823625206947,9.0,0.5662042134337955,,,,,,
,,,,1.0,0.5326919555664062,,,,
123.0,0.6860895955223378,54.0,0.543153875403934,5.0,0.38567742705345154,2.0,0.7568206489086151,2.0,0.30659762024879456
,,,,1.0,0.251864492893219,,,,
4.0,0.7203383147716522,3.0,0.499894638856252,,,,,,
10.0,0.76618392765522,1.0,0.5029852390289307,,,,,,
104.0,0.7736716562738786,22.0,0.5889333351091905,4.0,0.5027398020029068,,,3.0,0.5010051727294922
1.0,0.7709492444992065,,,,,,,1.0,0.48717063665390015
89.0,0.7465197835745436,34.0,0.5697230565197328,1.0,0.7382394671440125,,,2.0,0.3620199114084244
13.0,0.738915170614536,4.0,0.6680664718151093,,,,,,
1.0,0.6869556903839111,,,,,,,,
1.0,0.7376210689544678,,,,,,,,
,,,,1.0,0.251864492893219,,,,
1.0,0.6048287749290466,,,,,,,,
39.0,0.7376469320211655,14.0,0.5369526190417153,,,,,1.0,0.5012185573577881
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
79.0,0.745329579597787,8.0,0.6020657569169998,3.0,0.508139411608378,2.0,0.6820189952850342,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
12.0,0.6746253992120425,,,1.0,0.3567872941493988,,,,
15.0,0.7223466912905375,6.0,0.5578481157620748,1.0,0.36500656604766846,,,,
11.0,0.7751437046311118,8.0,0.5825646817684174,,,,,,
1.0,0.6515335440635681,1.0,0.47724223136901855,,,,,,
149.0,0.7329813389970152,42.0,0.5607820933773404,1.0,0.5230074524879456,,,1.0,0.44709721207618713
68.0,0.7327405337025138,24.0,0.5983038681248823,1.0,0.4007987976074219,1.0,0.5811936259269714,1.0,0.3539595603942871
15.0,0.660545156399409,3.0,0.610867997010549,,,,,,
14.0,0.7445382795163563,4.0,0.6259946823120117,1.0,0.5970179438591003,,,,
,,,,1.0,0.251864492893219,,,,
9.0,0.6978451940748427,1.0,0.6626896262168884,,,,,,
1.0,0.7467740178108215,,,,,,,,
148.0,0.7109628589572133,52.0,0.559563816166841,5.0,0.4694374442100525,1.0,0.7062663435935974,1.0,0.5463189482688904
162.0,0.7578423944888292,33.0,0.5605073354460977,4.0,0.4356709271669388,1.0,0.4357469081878662,1.0,0.3212728798389435
24.0,0.7300632869203886,3.0,0.5493653813997904,,,,,,
5.0,0.7773897767066955,1.0,0.666420578956604,,,,,1.0,0.35183951258659363
99.0,0.7713974642031121,15.0,0.5669388075669607,,,,,1.0,0.3557644784450531
3.0,0.633826861778895,,,,,,,,
12.0,0.8907569895188013,1.0,0.43676626682281494,,,,,,
4.0,0.7542196661233902,1.0,0.6986486911773682,,,,,,
68.0,0.6644224870730849,33.0,0.5504877585353274,18.0,0.5028406232595444,3.0,0.4458204358816147,4.0,0.48129044473171234
,,,,1.0,0.251864492893219,,,,
3.0,0.7640061775843302,3.0,0.6847323179244995,,,,,,
,,1.0,0.7020594477653503,,,,,,
18.0,0.7581668479575051,3.0,0.6758082111676534,,,,,,
1.0,0.5192359089851379,,,,,,,,
103.0,0.7382191532445186,26.0,0.5804895815941004,,,,,,
3.0,0.6903384526570638,,,,,,,,
,,,,1.0,0.251864492893219,,,,
4.0,0.7371262237429619,3.0,0.5942792693773905,1.0,0.5263237357139587,,,,
93.0,0.7107975720077433,69.0,0.5812594735104105,8.0,0.5618861727416515,5.0,0.6325930178165435,6.0,0.43456344306468964
,,,,1.0,0.251864492893219,,,,
20.0,0.7745993211865425,3.0,0.45861244201660156,,,,,,
129.0,0.7311168899831846,41.0,0.5689424814247503,5.0,0.3494999289512634,,,3.0,0.4077169895172119
35.0,0.7555694980280739,12.0,0.596586508055528,4.0,0.5395509898662567,,,2.0,0.3465558588504791
4.0,0.658003032207489,2.0,0.6524485647678375,,,,,,
,,,,1.0,0.251864492893219,,,,
62.0,0.7321921750422447,19.0,0.5828004683318891,4.0,0.5194278880953789,,,1.0,0.5239812135696411
6.0,0.7695066432158152,2.0,0.5635975301265717,,,,,,
1.0,0.7159307599067688,1.0,0.27206695079803467,,,,,,
13.0,0.7163081490076505,9.0,0.6389504737324185,1.0,0.6796770095825195,,,2.0,0.4190429747104645
33.0,0.727170138648062,6.0,0.5349136640628179,,,1.0,0.8162885308265686,,
120.0,0.7227651198705037,43.0,0.5665333666080652,7.0,0.43993859205927166,3.0,0.5334262947241465,2.0,0.4333329200744629
,,,,1.0,0.251864492893219,,,,
53.0,0.8075134607980836,8.0,0.5697139836847782,2.0,0.505026564002037,,,,
42.0,0.7077907167729878,11.0,0.5347071046178992,3.0,0.4632546007633209,,,,
5.0,0.7458788514137268,2.0,0.6966468691825867,,,,,,
2.0,0.7486228346824646,1.0,0.7369158864021301,,,,,,
,,,,1.0,0.251864492893219,,,,
16.0,0.6938095055520535,13.0,0.47467822982714725,,,,,,
116.0,0.7528736514264139,24.0,0.609782995035251,,,,,,
,,,,1.0,0.251864492893219,,,,
5.0,0.7360307574272156,2.0,0.5611498057842255,,,,,,
50.0,0.6953502523899079,19.0,0.5584058949821874,,,1.0,0.6210575103759766,,
,,,,1.0,0.251864492893219,,,,
4.0,0.7702959328889847,,,,,,,,
6.0,0.6845624446868896,,,,,,,,
93.0,0.7391523991220741,22.0,0.5467935421250083,2.0,0.5237453579902649,,,1.0,0.4063245952129364
1.0,0.6863412261009216,1.0,0.4662722945213318,,,,,,
4.0,0.6780870407819748,2.0,0.6070592701435089,,,,,,
,,1.0,0.40637630224227905,,,,,,
,,,,1.0,0.251864492893219,,,,
32.0,0.7298869444057345,12.0,0.5706543177366257,,,,,,
82.0,0.7680253081205415,5.0,0.49930577874183657,,,,,,
49.0,0.702370607123083,18.0,0.5046504222684436,7.0,0.465366644518716,1.0,0.5396286249160767,1.0,0.43966037034988403
8.0,0.8416275978088379,2.0,0.4927029460668564,2.0,0.37840384244918823,,,1.0,0.430083692073822
107.0,0.7305370936883944,24.0,0.5338757534821829,,,1.0,0.5048674941062927,4.0,0.46346867829561234
,,1.0,0.6875651478767395,,,,,,
1.0,0.7779147624969482,,,,,,,,
,,1.0,0.7090056538581848,,,,,,
2.0,0.7297946214675903,1.0,0.3005405366420746,,,,,,
7.0,0.6208445642675672,,,,,,,,
,,,,1.0,0.251864492893219,,,,
118.0,0.698664893790827,46.0,0.5720094902359921,5.0,0.445454466342926,,,,
,,,,1.0,0.251864492893219,,,,
91.0,0.7517305216291449,20.0,0.5736604169011116,1.0,0.4477722942829132,,,1.0,0.5039385557174683
42.0,0.7498620606604076,6.0,0.596018373966217,1.0,0.8000925779342651,6.0,0.7116309950749079,3.0,0.3853040039539337
1.0,0.7528524994850159,1.0,0.5377793312072754,,,,,,
5.0,0.7105295062065125,2.0,0.5606419444084167,1.0,0.6424663066864014,1.0,0.5690370202064514,,
8.0,0.7627081349492073,2.0,0.5039013028144836,,,,,,
,,,,1.0,0.251864492893219,,,,
84.0,0.7184765981066794,40.0,0.6038418896496296,2.0,0.49580492079257965,,,2.0,0.49947918951511383
9.0,0.7224389513333639,3.0,0.4440046151479085,1.0,0.39457112550735474,,,,
1.0,0.8287872076034546,,,1.0,0.414875328540802,,,,
,,,,1.0,0.251864492893219,,,,
12.0,0.7347229371468226,7.0,0.6084505958216531,,,,,1.0,0.5376664400100708
,,,,1.0,0.251864492893219,,,,
92.0,0.748450876901979,21.0,0.6084846400079273,1.0,0.40428218245506287,,,2.0,0.5118530243635178
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
1.0,0.7952243685722351,,,,,,,,
,,,,1.0,0.251864492893219,,,,
195.0,0.7553272374165364,45.0,0.5723084423277113,6.0,0.41819178064664203,,,,
8.0,0.7524913474917412,2.0,0.6621308624744415,1.0,0.3932327926158905,,,,
28.0,0.7083614766597748,5.0,0.5399958848953247,1.0,0.5061313509941101,,,,
,,,,1.0,0.251864492893219,,,,
20.0,0.7651381701231003,6.0,0.5869030356407166,1.0,0.5185884237289429,,,,
8.0,0.6471768170595169,4.0,0.6605804860591888,2.0,0.38227564096450806,,,,
9.0,0.685646202829149,2.0,0.8292418122291565,,,,,,
108.0,0.7093490938897486,48.0,0.5883396708716949,8.0,0.5022784918546677,,,2.0,0.4468250274658203
278.0,0.7212566773025252,63.0,0.5382931265566084,11.0,0.5118364583362233,3.0,0.41172243158022565,,
96.0,0.8208783340329925,2.0,0.5574010014533997,,,,,,
,,1.0,0.5139173865318298,,,,,1.0,0.5693372488021851
14.0,0.7135567579950605,2.0,0.5693433880805969,,,,,,
,,,,1.0,0.251864492893219,,,,
56.0,0.7579883097537926,8.0,0.5330636203289032,2.0,0.44719967246055603,,,1.0,0.37235113978385925
135.0,0.6961614973015255,45.0,0.606814440091451,5.0,0.43495609164237975,1.0,0.5867801308631897,2.0,0.5593047887086868
36.0,0.678940919538339,25.0,0.6033160257339477,8.0,0.44864899292588234,,,1.0,0.4278557002544403
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
19.0,0.7515250852233485,2.0,0.4504142552614212,1.0,0.45021748542785645,,,,
,,,,1.0,0.251864492893219,,,,
90.0,0.7352090444829729,22.0,0.5899550440636548,2.0,0.5126912295818329,,,,
21.0,0.6838411830720448,15.0,0.6172748804092407,1.0,0.3262178599834442,1.0,0.6142898201942444,1.0,0.42823469638824463
17.0,0.7716794645085054,5.0,0.6429110050201416,1.0,0.3760966658592224,,,,
61.0,0.6820830922634875,24.0,0.537161915252606,1.0,0.4166928231716156,1.0,0.8733305335044861,,
8.0,0.6720631159842014,2.0,0.663849875330925,,,,,,
3.0,0.7300090591112772,,,,,1.0,0.7510597109794617,1.0,0.3898429572582245
3.0,0.6935334801673889,2.0,0.5595820099115372,,,,,,
,,,,1.0,0.251864492893219,,,,
1.0,0.6993511319160461,,,,,,,,
9.0,0.8181670043203566,1.0,0.5920529961585999,1.0,0.2539339065551758,,,,
,,1.0,0.5404343605041504,,,,,,
3.0,0.6306726932525635,5.0,0.554306423664093,1.0,0.4116789400577545,1.0,0.5801888108253479,1.0,0.47515732049942017
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,2.0,0.5320691466331482,,,,,,
1.0,0.7052620649337769,,,,,,,,
240.0,0.7323590163141489,30.0,0.5988108783960342,1.0,0.3050325810909271,,,2.0,0.4556853920221329
1.0,0.5407168865203857,,,,,,,,
2.0,0.6270300149917603,,,,,,,,
,,3.0,0.551364928483963,,,,,,
7.0,0.6001296171120235,7.0,0.5110023617744446,,,,,,
43.0,0.727838164152101,15.0,0.5118958214918773,1.0,0.4770056903362274,1.0,0.4771552085876465,2.0,0.3092474788427353
,,,,1.0,0.251864492893219,,,,
32.0,0.7243874007835984,18.0,0.6281398998366462,3.0,0.4053937296072642,,,3.0,0.4518232544263204
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
132.0,0.7640356787226417,17.0,0.5649388800649082,1.0,0.386687695980072,,,1.0,0.2650068998336792
,,,,1.0,0.251864492893219,,,,
77.0,0.6739123653281819,66.0,0.5757213018157266,13.0,0.4693220487007728,7.0,0.6400061930928912,9.0,0.5044531557295058
3.0,0.8060439229011536,1.0,0.5247578024864197,,,,,,
3.0,0.8168080449104309,3.0,0.5334207018216451,,,,,,
,,,,1.0,0.251864492893219,,,,
13.0,0.7481541633605957,,,,,,,,
2.0,0.7508833110332489,,,,,,,,
17.0,0.7370031090343699,6.0,0.5444261233011881,,,,,,
68.0,0.7095267812118811,29.0,0.5666524850088974,3.0,0.5187190075715383,4.0,0.3853568285703659,4.0,0.443845272064209
,,,,1.0,0.251864492893219,,,,
60.0,0.7252715860803922,22.0,0.5602424916895953,2.0,0.4026841074228287,,,,
9.0,0.7826319932937622,2.0,0.5326177775859833,,,,,,
52.0,0.7310115912785897,7.0,0.5213951596191951,1.0,0.2539339065551758,,,1.0,0.35476920008659363
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
132.0,0.7460771814891787,35.0,0.5805099078587124,3.0,0.4204916258653005,,,,
14.0,0.6715452628476279,5.0,0.5879597246646882,,,,,,
25.0,0.7245689678192139,8.0,0.5898466855287552,,,,,1.0,0.3809715509414673
9.0,0.6461049318313599,8.0,0.6159234344959259,1.0,0.3836618959903717,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
39.0,0.7633434312465863,6.0,0.5837661822636923,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
6.0,0.7410256465276083,4.0,0.672473207116127,,,,,,
2.0,0.6566633433103561,2.0,0.5402649790048599,,,,,,
4.0,0.6144867688417435,8.0,0.6193359903991222,,,,,,
25.0,0.7353632915019989,6.0,0.5563236176967621,1.0,0.5072191953659058,,,1.0,0.5373104214668274
,,,,1.0,0.251864492893219,,,,
24.0,0.7868594080209732,5.0,0.6499982237815857,,,,,,
5.0,0.733422040939331,,,1.0,0.2981574833393097,,,,
10.0,0.8099542915821075,3.0,0.6348235110441843,,,,,,
86.0,0.7090012081140695,32.0,0.5590390153229237,3.0,0.4228408734003703,1.0,0.5204883813858032,2.0,0.47836901247501373
28.0,0.7833633742162159,8.0,0.5896359458565712,,,,,,
51.0,0.7162700698656195,14.0,0.5749989918300084,2.0,0.4384213238954544,,,,
,,1.0,0.5989609956741333,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
40.0,0.6212104320526123,23.0,0.5323781111966008,3.0,0.5143674910068512,2.0,0.5992223620414734,3.0,0.3222147524356842
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
4.0,0.8834088146686554,,,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
43.0,0.7225767609684967,5.0,0.533574002981186,,,,,2.0,0.6048561334609985
,,,,1.0,0.251864492893219,,,,
8.0,0.7018409967422485,1.0,0.49643629789352417,,,,,,
1.0,0.8442056179046631,1.0,0.5237424373626709,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,,,1.0,0.4902970492839813,,
,,,,1.0,0.251864492893219,,,,
8.0,0.7755901366472244,1.0,0.570345938205719,,,,,,
78.0,0.7589793816590921,10.0,0.5809065997600555,,,1.0,0.5139671564102173,,
7.0,0.7342672262872968,4.0,0.5012596175074577,1.0,0.5126513838768005,,,1.0,0.4678245186805725
13.0,0.7902467525922335,5.0,0.590057247877121,,,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
3.0,0.7960748871167501,1.0,0.4404434263706207,,,,,,
23.0,0.665742057821025,6.0,0.5643332550923029,1.0,0.4051703214645386,,,,
,,,,1.0,0.251864492893219,,,,
5.0,0.7647642850875854,1.0,0.47872549295425415,,,,,,
5.0,0.760661780834198,1.0,0.8143478631973267,3.0,0.49119260907173157,,,1.0,0.5132117867469788
3.0,0.565481960773468,,,,,,,,
4.0,0.7366426885128021,,,,,,,,
6.0,0.6964374780654907,3.0,0.6638426979382833,,,,,,
35.0,0.7309441523892539,8.0,0.5652580559253693,1.0,0.5297905206680298,,,,
2.0,0.6260327994823456,,,,,,,,
,,,,1.0,0.251864492893219,,,,
109.0,0.7238422555660983,27.0,0.5453088438069379,3.0,0.4694347381591797,,,,
16.0,0.688270628452301,2.0,0.6732501685619354,1.0,0.5611370801925659,2.0,0.36526384949684143,1.0,0.3626813590526581
81.0,0.7452679618641183,21.0,0.5711411663464138,4.0,0.36265747994184494,,,,
7.0,0.6686693940843854,6.0,0.5374871442715327,1.0,0.5098692774772644,1.0,0.6340821385383606,2.0,0.43837665021419525
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
51.0,0.745923624903548,9.0,0.5465533004866706,2.0,0.42429862916469574,,,,
3.0,0.7968398729960123,,,,,,,,
2.0,0.6560024321079254,,,,,,,,
37.0,0.7355790259064855,12.0,0.6575675855080286,3.0,0.46550742785135907,,,1.0,0.5430333614349365
,,,,1.0,0.251864492893219,,,,
2.0,0.8555544316768646,2.0,0.6115746796131134,,,,,1.0,0.5070655941963196
,,1.0,0.48309075832366943,,,,,,
2.0,0.8796369135379791,,,,,,,,
212.0,0.752877876443683,37.0,0.5606958632533615,1.0,0.6071863174438477,,,2.0,0.35491661727428436
3.0,0.6741235057512919,2.0,0.5414252728223801,1.0,0.2787491977214813,,,,
26.0,0.7010177030013158,6.0,0.5558660527070364,,,1.0,0.5946453809738159,,
,,,,1.0,0.251864492893219,,,,
3.0,0.7365310986836752,5.0,0.5283876121044159,1.0,0.6536504030227661,,,,
,,,,1.0,0.251864492893219,,,,
7.0,0.694033682346344,3.0,0.6611335277557373,1.0,0.49303963780403137,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
9.0,0.7264508737458123,2.0,0.6097780466079712,,,,,,
,,,,1.0,0.251864492893219,,,,
28.0,0.6983439528516361,8.0,0.5269806087017059,1.0,0.3855471909046173,3.0,0.7332453926404318,,
95.0,0.7407730020974812,17.0,0.5643634375403909,5.0,0.4760791063308716,1.0,0.5965234041213989,,
,,,,1.0,0.251864492893219,,,,
2.0,0.5704937726259232,5.0,0.6667845487594605,1.0,0.5236838459968567,1.0,0.543688952922821,1.0,0.4840667247772217
12.0,0.72594686349233,3.0,0.5657064119974772,,,,,,
1.0,0.7071406841278076,,,,,,,,
52.0,0.7103634167176026,20.0,0.5486399695277214,2.0,0.4648824781179428,,,,
